"ID_REF"	"GSM634846"	"GSM634847"	"GSM634848"	"GSM634849"	"GSM634850"	"GSM634851"	"GSM634852"	"GSM634853"	"GSM634854"	"GSM634855"	"GSM634856"	"GSM634857"
"ILMN_1651492"	0.39196235	0.351156376	0.28000871	0.049595049	-0.177193462	0.077840741	0.353090478	0.135981526	0.378220788	0.050876938	0.162620978	0.417082968
"ILMN_1651495"												
"ILMN_1651496"	1.186191112	1.199113064	1.348734126	0.664138503	0.612272501	0.546776576	1.015126473	0.814361392	1.218680526	0.834105767	0.960773394	0.814272611
"ILMN_1651498"	0.026079089	-0.073830095	-0.073094462	-0.173304385	-0.319705426	-0.123724235	0.650442266	0.502743035	0.737000272	0.487685716	0.122325971	0.29671212
"ILMN_1651499"												
"ILMN_1651501"												
"ILMN_1651504"	0.83859015	0.687464008	0.903141549	0.629197084	0.631252291	0.83002588	0.957614991	0.990660254	0.937611463	0.66130942	0.709524741	0.67172795
"ILMN_1651506"	1.178915049	1.430331027	1.373061605	0.684086846	0.818501798	0.580412919	1.143497749	1.032195246	1.168035314	0.587163794	0.777136228	0.90579188
"ILMN_1651507"	-0.289188381	-0.235039977	-0.137583608	-0.220670879	-0.097709437	-0.320271966	-0.27377846	-0.120604936	-0.278530333	-0.227212622	-0.341683305	-0.306601076
"ILMN_1651508"												
"ILMN_1651513"	2.354115246	2.434770899	2.54605729	1.450202876	1.680100195	1.587688483	1.786564686	2.133812367	2.019037459	1.565500925	1.806540943	1.593039167
"ILMN_1651520"												
"ILMN_1651532"												
"ILMN_1651535"												
"ILMN_1651536"												
"ILMN_1651538"												
"ILMN_1651543"												
"ILMN_1651544"	0.647201532	0.707403073	0.840082239	0.955921796	1.435722384	1.353774771	0.940429238	0.987142443	0.803044102	1.44775983	1.189348496	0.69432505
"ILMN_1651547"												
"ILMN_1651554"												
"ILMN_1651557"	0.758957311	0.715516782	0.831794946	-0.030235299	0.145563506	-0.028474545	0.539043177	0.507896719	0.742560498	-0.14023591	0.081236656	0.362081644
"ILMN_1651563"												
"ILMN_1651565"												
"ILMN_1651567"												
"ILMN_1651568"	-0.390678503	-0.541451433	-0.432990171	-0.077616402	-0.202438359	-0.225704388	-0.551031605	-0.615936339	-0.571541178	-0.146595507	0.075553402	0.071105717
"ILMN_1651569"												
"ILMN_1651574"												
"ILMN_1651576"												
"ILMN_1651582"												
"ILMN_1651584"												
"ILMN_1651597"												
"ILMN_1651599"												
"ILMN_1651604"												
"ILMN_1651606"												
"ILMN_1651608"												
"ILMN_1651609"	-0.545987146	-0.238311019	-0.181590017	-0.292992286	-0.204712771	-0.295902881	-0.500117289	-0.388544445	-0.360976606	-0.356723318	-0.394478033	-0.225674606
"ILMN_1651610"	0.606825114	0.399583674	0.570308604	0.137934536	0.039782308	0.426443722	0.852620012	0.357405227	0.839826204	0.37846975	0.264908752	0.016957548
"ILMN_1651617"												
"ILMN_1651624"												
"ILMN_1651628"	0.497096446	0.663844946	0.781324401	-0.021625606	0.245051515	0.020342193	0.358457692	0.343600084	0.579959701	0.094665154	0.191340976	0.497924802
"ILMN_1651636"												
"ILMN_1651637"												
"ILMN_1651641"	-0.277832376	-0.467065279	-0.46001257	-0.227473983	0.083328916	-0.184083377	-0.272162788	-0.28556399	-0.332793877	-0.112545301	-0.183199596	-0.28198433
"ILMN_1651642"												
"ILMN_1651643"												
"ILMN_1651652"												
"ILMN_1651656"												
"ILMN_1651657"	-0.284728838	-0.114984817	-0.34881091	0.030370089	0.033474596	0.077280423	-0.0662574	-0.098820651	-0.161249896	-0.111304726	-0.143250534	0.076505659
"ILMN_1651660"												
"ILMN_1651662"												
"ILMN_1651664"												
"ILMN_1651672"												
"ILMN_1651680"	3.672719178	4.297937521	4.642213679	2.918003968	3.849646431	2.672273229	4.411831263	5.387924414	4.750900308	2.521217111	3.14452517	2.90641417
"ILMN_1651681"												
"ILMN_1651684"	0.871713245	0.905224741	0.915674346	0.684621451	0.859812211	0.810865881	0.813018011	0.558760027	0.723163429	0.957590885	0.837866198	0.471364013
"ILMN_1651685"												
"ILMN_1651690"												
"ILMN_1651692"	2.036238125	2.054629935	2.101390622	2.052307371	2.210955619	1.979865476	2.204528993	2.004583133	1.96527525	2.06515806	2.023010609	1.796484523
"ILMN_1651693"	-0.198775499	-0.199163638	-0.27512182	0.073436234	-0.154694477	-0.124777258	-0.127613194	-0.147549648	-0.226595064	-0.067019017	-0.026628224	-0.079520415
"ILMN_1651699"	-0.025721045	-0.026809592	0.029583732	-0.231793271	-0.267331701	-0.227063597	-0.045628665	-0.005314124	0.163812441	-0.134776966	-0.14763783	-0.288470437
"ILMN_1651705"	1.157124232	1.186381159	1.612981068	0.51733906	0.534840387	0.397521757	1.335100945	1.832899245	1.67887643	0.350083665	0.637338388	0.163857062
"ILMN_1651708"												
"ILMN_1651710"												
"ILMN_1651711"												
"ILMN_1651712"												
"ILMN_1651715"	-0.231290566	-0.275235407	-0.277096739	-0.193756935	-0.091425652	-0.148664887	-0.292869915	-0.362985652	-0.195818455	-0.347814696	-0.282915887	0.025654942
"ILMN_1651717"												
"ILMN_1651719"	1.158130545	1.18926622	1.392409547	0.52028696	0.782981278	0.477211719	1.32935569	1.282173968	1.351816652	0.551461528	0.77485202	0.8432243
"ILMN_1651727"												
"ILMN_1651735"	1.308428665	1.215507491	1.177451085	1.146959145	1.066630958	0.952060377	1.421828805	1.41306817	1.260587223	1.06327977	1.413551614	1.655863125
"ILMN_1651737"												
"ILMN_1651741"												
"ILMN_1651745"												
"ILMN_1651752"	-0.264433407	-0.325990826	-0.213706281	-0.181363751	-0.226079884	-0.256513553	-0.371481662	-0.341801618	-0.269603589	-0.292116627	0.055391424	-0.256877521
"ILMN_1651758"												
"ILMN_1651760"												
"ILMN_1651763"												
"ILMN_1651767"	1.164294833	1.257718387	1.347478428	1.367445503	1.483778912	1.279805443	1.448761949	1.326657421	1.581604783	1.369632935	1.351172826	1.385834886
"ILMN_1651769"	-0.478639866	-0.175080059	-0.36539057	-0.350302288	-0.304603111	-0.481147308	-0.429073927	-0.225281933	-0.249475024	-0.452313313	-0.338275623	-0.467673726
"ILMN_1651771"												
"ILMN_1651776"	2.127760696	2.086582488	2.225304732	2.323343228	2.426127765	2.254074057	2.211862709	1.975356035	2.094898374	2.682688372	2.619733082	2.312940282
"ILMN_1651787"	-0.281440489	-0.349864343	-0.252292671	-0.190088901	-0.006790388	-0.07148994	-0.303809009	-0.334659673	-0.217217457	-0.139031393	-0.282784629	-0.094166337
"ILMN_1651788"	1.702242867	1.603212561	1.556172131	2.006097086	1.74508692	1.91125217	1.967270418	1.616606131	1.850635872	2.059388474	1.743754514	1.870059592
"ILMN_1651789"												
"ILMN_1651792"												
"ILMN_1651799"	1.545335429	1.302533646	1.113138027	0.715097838	0.408757755	0.500768478	0.737353946	0.662673568	0.810642243	0.560254665	0.92961024	1.415552961
"ILMN_1651800"	0.398193904	0.461786669	0.494053318	-0.412521762	-0.470532966	-0.602054146	0.38895541	0.095487156	0.179219645	-0.503519192	-0.348280263	-0.436057406
"ILMN_1651806"												
"ILMN_1651811"	-0.299561764	-0.272054116	-0.144499769	-0.37479784	-0.329496938	-0.405367113	-0.454737105	-0.398978125	-0.417465284	-0.583005179	-0.336742353	-0.485810407
"ILMN_1651817"												
"ILMN_1651819"	0.893708953	0.75026265	0.962689819	0.193366632	0.029553104	0.02146254	0.97541655	0.883876034	0.957041415	0.395905017	0.258017078	0.380345963
"ILMN_1651826"	4.91439359	4.758979202	4.467834787	5.344238367	5.206963437	5.440999928	5.015105381	5.326719215	4.62089848	5.396260073	5.438646318	5.916155002
"ILMN_1651828"	1.985833333	1.968627203	2.113125541	2.01068738	2.057510919	1.74916631	1.991623965	1.918947755	1.998145127	2.180556929	2.031439797	1.829695509
"ILMN_1651832"	4.82574998	4.649736601	4.523457258	5.452236532	5.309248871	5.49172757	4.772075509	5.044798832	4.56471261	5.155768724	5.243293249	5.090106248
"ILMN_1651838"	0.12669416	0.075320335	0.21379404	-0.048354458	0.10163589	0.047784108	0.005472622	0.146824575	0.084034628	0.053500105	0.079824641	-0.041855415
"ILMN_1651846"												
"ILMN_1651848"												
"ILMN_1651850"	5.663957575	5.484878227	5.358965732	7.612755003	7.621958894	7.532867595	6.041697625	6.590175308	5.263216013	6.813202557	7.055535635	6.789638974
"ILMN_1651865"												
"ILMN_1651872"	0.806010245	0.63384164	0.722477847	0.587273312	0.401152029	0.579037288	0.522082103	0.200312244	0.579730732	1.357209862	0.827123758	0.53573067
"ILMN_1651878"	0.231527141	0.002948257	0.014368246	-0.221308615	-0.494667663	-0.522598134	-0.022068092	-0.016970228	0.035876015	-0.566262735	-0.492319705	-0.23783986
"ILMN_1651886"	2.89585804	2.811390111	2.66993424	3.206673737	3.172311573	3.387591795	2.468713647	2.381577786	2.577379798	3.477744169	3.226550987	2.949800141
"ILMN_1651899"	4.376916715	4.352246559	4.439161502	5.022469516	5.701681275	5.207732425	4.573446491	4.899571023	4.389665723	5.025988464	5.010671965	4.53075281
"ILMN_1651900"												
"ILMN_1651902"												
"ILMN_1651903"												
"ILMN_1651905"												
"ILMN_1651913"												
"ILMN_1651916"												
"ILMN_1651936"	1.909763768	1.767885	1.696339274	1.892665678	1.446530248	1.44027758	2.055467483	1.812237461	1.938935717	1.294811418	1.541870553	2.665247237
"ILMN_1651938"												
"ILMN_1651940"												
"ILMN_1651943"												
"ILMN_1651944"												
"ILMN_1651949"	-0.110885552	0.129686709	0.274861882	-0.348935958	-0.37364974	-0.328640906	0.199625005	-0.015241414	0.268948901	-0.373875652	-0.262033143	-0.31351253
"ILMN_1651950"	-0.232124304	-0.093282036	-0.086438191	-0.305868923	-0.177048368	-0.338396378	-0.06687143	-0.101648506	-0.065245851	-0.292257032	-0.121904231	0.028242991
"ILMN_1651958"												
"ILMN_1651964"	0.560389446	0.529343329	0.475108056	0.17929006	-0.024594256	0.024134031	0.400516908	0.290479573	0.532880671	0.227413317	0.206712131	0.929707267
"ILMN_1651966"												
"ILMN_1651967"												
"ILMN_1651980"												
"ILMN_1651984"												
"ILMN_1651987"	2.326599563	2.57253512	2.746193801	2.760240193	3.265870373	2.704213673	2.778106538	2.487224884	2.702735296	2.951486324	2.799924333	2.568955578
"ILMN_1652000"	-0.415190639	-0.422569341	-0.20482871	-0.302863546	-0.270824266	-0.331160683	-0.335935763	-0.032551204	-0.357070863	-0.210127238	-0.353933146	-0.310370847
"ILMN_1652003"												
"ILMN_1652006"	0.179102845	0.020545472	-0.018080048	0.143228228	0.218130855	0.150339528	0.066368675	0.096573083	0.055472208	0.194120534	0.405679532	0.246102097
"ILMN_1652008"	-0.402358052	-0.059193522	0.170093888	-0.527176904	-0.207974308	-0.405791771	-0.267978455	0.069998332	0.183772585	-0.229210328	-0.414337419	-0.383622569
"ILMN_1652015"												
"ILMN_1652017"												
"ILMN_1652022"												
"ILMN_1652023"												
"ILMN_1652024"	0.465718219	0.599168564	0.72731367	-0.354080488	-0.337359297	-0.390434377	0.392158282	0.839905589	0.963101695	-0.409191021	-0.312425594	0.142959119
"ILMN_1652037"												
"ILMN_1652056"												
"ILMN_1652065"	0.507508208	0.469139607	0.611918977	-0.267220246	-0.301748755	-0.293505218	0.591669132	0.33822836	0.718108095	-0.37943537	-0.266162657	-0.261482956
"ILMN_1652066"												
"ILMN_1652072"	0.564202545	0.384164365	0.409401203	-0.33693033	-0.299851259	-0.602672181	0.568285264	0.343677341	0.563314117	-0.137203893	0.042818339	-0.278408115
"ILMN_1652073"	3.661736813	3.518288853	3.552795394	4.002298799	4.296151554	4.189529247	3.435947179	3.323825699	3.332307737	4.450974721	4.1176999	3.510032692
"ILMN_1652079"												
"ILMN_1652081"												
"ILMN_1652082"	1.404949486	1.368704878	1.430953719	1.407022687	1.149236225	1.462587262	1.555846547	1.444289088	1.512156795	1.521594898	1.564791335	1.737795391
"ILMN_1652085"	2.867628675	2.37030841	2.25647441	3.357748281	3.829713799	3.991837442	1.854979776	2.392617893	1.984562152	2.835363672	3.353147083	2.128361781
"ILMN_1652088"												
"ILMN_1652098"												
"ILMN_1652104"												
"ILMN_1652110"												
"ILMN_1652113"												
"ILMN_1652123"	1.196365779	1.489561789	2.192914367	0.318677853	0.153292917	0.292379953	1.835740665	2.477065334	2.599320152	0.450048809	0.494199266	0.907355225
"ILMN_1652128"	0.438978142	0.479149434	0.55675664	-0.600867479	-0.297711509	-0.438768959	0.061798719	0.149059086	0.370008283	-0.367111969	-0.355839963	-0.131336288
"ILMN_1652132"												
"ILMN_1652137"												
"ILMN_1652144"												
"ILMN_1652147"	0.022469542	-0.108971735	-0.031627988	-0.000385476	-0.165888477	-0.153503621	-0.141933503	-0.248402157	-0.046826566	0.065848466	-0.018866405	-0.102251002
"ILMN_1652151"												
"ILMN_1652155"												
"ILMN_1652160"	0.34299601	0.369728509	0.066536403	-0.443559614	-0.448783253	-0.036231292	-0.421264665	-0.336687199	0.118658204	-0.349159956	-0.383464212	-0.111363928
"ILMN_1652161"	-0.249254958	-0.212048042	-0.11317466	-0.115942745	-0.013121444	-0.144837273	-0.203548702	-0.203162108	-0.201570594	0.051825772	-0.114092199	-0.197269065
"ILMN_1652163"	1.426832621	1.52335859	1.389935791	0.940118625	1.099256818	0.971940834	1.467026244	0.950713188	1.437534887	1.318624889	1.160360075	1.396071004
"ILMN_1652164"												
"ILMN_1652166"												
"ILMN_1652170"												
"ILMN_1652171"												
"ILMN_1652175"												
"ILMN_1652178"												
"ILMN_1652181"	-0.48551801	-0.385520341	-0.525198785	-0.156942902	-0.294757737	-0.003166306	-0.268912053	-0.170069113	-0.349555595	-0.348885957	-0.111368261	0.017272744
"ILMN_1652185"	0.62410862	0.480436351	0.425135502	1.053899624	0.910007434	1.073890013	0.52324898	0.332847477	0.405892065	1.086559522	1.109802772	0.945751668
"ILMN_1652188"												
"ILMN_1652196"												
"ILMN_1652198"	-0.413989626	-0.370399822	-0.108788827	-0.27283904	-0.270646064	-0.286228496	-0.464154367	-0.213887256	-0.268455991	-0.323283355	-0.28872547	-0.375569846
"ILMN_1652199"												
"ILMN_1652205"												
"ILMN_1652206"												
"ILMN_1652207"	5.20077329	5.094400062	4.921183977	6.878637336	7.225627048	6.982832355	5.548209715	5.932514395	4.879781221	6.431355186	6.459471415	5.998265895
"ILMN_1652209"												
"ILMN_1652215"	0.16821768	0.140020293	0.262883493	-0.047750957	0.179964737	0.086601661	0.246830911	0.065447433	0.315122284	0.163355597	0.12677899	-0.019609408
"ILMN_1652218"												
"ILMN_1652219"												
"ILMN_1652223"	0.844574145	1.118887836	1.427982456	0.053301867	0.286983683	-0.047654894	1.419597008	1.384632124	1.687580561	0.164360427	0.322966211	0.680048408
"ILMN_1652230"	5.093887214	5.181494025	4.966122831	6.100799234	6.170453039	6.273246509	5.624776716	5.591131141	5.002307456	5.890738371	5.914967784	5.538572049
"ILMN_1652236"												
"ILMN_1652237"	1.227455119	0.922064181	0.916199038	1.351915751	1.417873693	1.284518876	0.942303891	0.774195938	0.80483897	1.328148457	1.060614144	0.876480714
"ILMN_1652242"	0.16188347	0.01605615	-0.02796028	-0.052241121	-0.240610443	-0.273188443	-0.240088813	-0.200027066	-0.078071699	-0.261549053	-0.334717261	0.012017379
"ILMN_1652243"												
"ILMN_1652244"												
"ILMN_1652246"	-0.408260173	-0.403740326	-0.455803253	0.11051281	-0.092852019	-0.041561651	-0.359799934	-0.528082336	-0.435880348	-0.207792221	-0.225175874	-0.203790469
"ILMN_1652248"												
"ILMN_1652249"												
"ILMN_1652254"												
"ILMN_1652259"												
"ILMN_1652276"												
"ILMN_1652277"												
"ILMN_1652280"	-0.4091864	-0.3116882	-0.203867686	-0.26999392	-0.086028784	-0.356108308	-0.154125895	-0.115192634	-0.097734879	-0.283746467	-0.369183501	-0.393052014
"ILMN_1652284"												
"ILMN_1652287"												
"ILMN_1652291"												
"ILMN_1652297"												
"ILMN_1652300"												
"ILMN_1652306"	-0.071563631	-0.124311191	-0.118248803	0.07723538	0.133743308	0.087184355	-0.00634027	-0.010164653	-0.133195065	0.077630453	0.091276479	0.01969538
"ILMN_1652309"	-0.107699764	-0.153169385	-0.275566681	-0.504037059	-0.58798275	-0.544561631	-0.613118136	-0.370438259	-0.623190648	-0.574321235	-0.562928125	-0.486619095
"ILMN_1652313"	0.093298439	0.588267092	0.409094814	-0.17458866	-0.381405925	-0.395688151	0.229541422	-0.004259401	0.348519087	-0.392523089	-0.346780648	0.040438673
"ILMN_1652314"	-0.05400647	-0.140665827	-0.13345547	0.178319123	-0.110709198	0.400323428	-0.057922409	-0.398222765	0.019817638	0.088846109	0.035786272	-0.192996831
"ILMN_1652319"												
"ILMN_1652331"	-0.268092009	-0.193834929	0.015599728	-0.212155378	-0.305143836	-0.338677362	0.022617704	-0.271953522	0.001367666	-0.345199757	-0.358480494	-0.263067345
"ILMN_1652333"	2.276694985	2.485724266	2.458396353	2.120649891	1.817609773	2.050878271	2.114909384	2.023224836	2.194104033	2.220061992	2.185398465	2.132978297
"ILMN_1652342"												
"ILMN_1652343"												
"ILMN_1652348"	-0.226367485	-0.181898492	-0.333548516	0.031817625	-0.212777033	-0.062536156	-0.056940112	-0.145489754	-0.225738151	-0.084041303	-0.111162738	0.007146764
"ILMN_1652357"	1.037153235	1.205825935	1.055540654	0.250665218	0.612550704	0.278387794	1.090857974	1.649699572	1.307943421	0.731803727	0.750706409	0.844922328
"ILMN_1652365"												
"ILMN_1652366"	1.581422012	1.79025669	1.843422044	-0.317471562	-0.225937644	-0.256011657	1.323582382	1.426013744	1.463978957	-0.082340648	-0.212987588	-0.412086104
"ILMN_1652368"												
"ILMN_1652369"												
"ILMN_1652371"	-0.321942347	-0.428888708	-0.451953772	-0.244471501	-0.135310057	-0.094141803	-0.478712206	-0.384497765	-0.359591591	-0.026820668	-0.187643237	-0.086805637
"ILMN_1652376"												
"ILMN_1652378"	-0.19657184	-0.148927079	0.114360704	-0.42955251	-0.329168375	-0.428245256	-0.063328553	-0.264549488	0.067924188	-0.38167633	-0.314323743	-0.418945528
"ILMN_1652379"	1.743246489	2.267531415	2.035803281	0.525787208	0.62061933	0.515574875	1.784994804	1.474735374	1.747010432	0.574474794	0.89785648	0.823846092
"ILMN_1652381"												
"ILMN_1652392"												
"ILMN_1652394"	1.166152571	1.2627858	1.477588224	0.493065214	0.574473799	0.633846426	0.958588969	0.892883326	1.192749059	0.893186207	0.722502878	0.838690741
"ILMN_1652397"												
"ILMN_1652407"	0.389225431	0.644888833	0.821100328	-0.015675342	0.044860291	-0.279798282	0.552794046	0.837596621	0.824534007	-0.320250442	-0.082216539	0.145206113
"ILMN_1652409"	0.568101973	0.438088992	0.411294805	0.400033723	0.039519625	0.654069228	0.226357409	0.309152281	0.246239981	0.505415099	0.242776577	0.105194079
"ILMN_1652412"												
"ILMN_1652413"												
"ILMN_1652417"												
"ILMN_1652424"												
"ILMN_1652429"												
"ILMN_1652430"												
"ILMN_1652431"												
"ILMN_1652434"	0.394392032	0.385047665	0.39019446	0.067479018	-0.064871912	0.081331897	0.413478574	0.242076723	0.451701969	0.043098614	-0.002000717	0.180858164
"ILMN_1652436"												
"ILMN_1652439"												
"ILMN_1652445"												
"ILMN_1652450"												
"ILMN_1652456"												
"ILMN_1652459"	1.404039075	0.766698957	1.050308787	0.053936667	-0.281294918	-0.002781016	0.409151054	-0.139132679	0.984113935	-0.045603939	0.091903765	0.374235001
"ILMN_1652461"												
"ILMN_1652464"												
"ILMN_1652465"												
"ILMN_1652466"												
"ILMN_1652469"												
"ILMN_1652472"	0.365528025	0.110903333	0.219064571	0.316352923	0.033376037	0.614656295	-0.012567367	0.136169017	0.113195481	-0.057095638	0.160942561	-0.320428827
"ILMN_1652486"	0.977337071	1.051860612	0.980024455	1.17069173	1.249140246	1.083533896	1.174446443	1.036085431	1.185490892	1.283534539	1.005878163	1.268278881
"ILMN_1652487"												
"ILMN_1652488"												
"ILMN_1652490"												
"ILMN_1652494"												
"ILMN_1652505"	2.30513112	2.237060199	2.133668351	1.655945106	1.687529011	1.721954894	2.105913013	1.900819951	2.099134129	2.040472115	1.864929188	1.690066531
"ILMN_1652507"												
"ILMN_1652512"	1.44094222	1.271387496	1.236551458	1.267601124	0.812873971	1.024262135	0.846025069	0.585596051	0.966346884	0.83289505	0.812985359	1.167536687
"ILMN_1652521"	0.884177422	1.063756796	0.851370506	0.153258222	0.008466162	0.030782954	0.6682236	0.551804476	0.732950826	-0.021916996	0.172903906	0.671161096
"ILMN_1652525"												
"ILMN_1652527"												
"ILMN_1652533"	0.291619537	0.129808877	0.059024127	0.697452463	0.210582663	0.502108159	-0.026234108	-0.054542053	0.016674872	0.352294997	0.421864874	0.670000361
"ILMN_1652540"	-0.050415626	-0.075339658	-0.025968011	-0.58624624	-0.407479742	-0.467945611	0.103837803	-0.148459188	0.139233903	-0.485970018	-0.426458633	-0.635729839
"ILMN_1652549"												
"ILMN_1652550"												
"ILMN_1652574"												
"ILMN_1652577"												
"ILMN_1652578"												
